s,d,t,h,m_s,p_required,p_upper,p_gap,residual_K_lower_with_displayed_p_bound,margin_over_9_times_240,route,route_description
19,9,45,54,45,35,35,0,2160,0,A,"Petersen equality at (19,9,45)"
19,9,46,55,45,36,35,1,2160,0,B,global prolongation / double quotient
19,9,47,56,45,37,35,2,2160,0,B,global prolongation / double quotient
19,9,48,57,45,38,35,3,2160,0,B,global prolongation / double quotient
19,9,49,58,45,39,35,4,2160,0,B,global prolongation / double quotient
19,9,50,59,45,40,35,5,2160,0,B,global prolongation / double quotient
19,9,51,60,45,41,35,6,2160,0,B,global prolongation / double quotient
19,10,45,55,45,36,50,-14,2170,10,B,global prolongation / double quotient
19,10,46,56,45,37,50,-13,2170,10,B,global prolongation / double quotient
19,10,47,57,45,38,50,-12,2170,10,B,global prolongation / double quotient
19,10,48,58,45,39,50,-11,2170,10,B,global prolongation / double quotient
19,10,49,59,45,40,50,-10,2170,10,B,global prolongation / double quotient
19,10,50,60,45,41,50,-9,2170,10,B,global prolongation / double quotient
19,11,45,56,45,37,55,-18,2190,30,B,global prolongation / double quotient
19,11,46,57,45,38,55,-17,2190,30,B,global prolongation / double quotient
19,11,47,58,45,39,55,-16,2190,30,B,global prolongation / double quotient
19,11,48,59,45,40,55,-15,2190,30,B,global prolongation / double quotient
19,11,49,60,45,41,55,-14,2190,30,B,global prolongation / double quotient
19,12,45,57,45,38,61,-23,2209,49,B,global prolongation / double quotient
19,12,46,58,45,39,61,-22,2209,49,B,global prolongation / double quotient
19,12,47,59,45,40,61,-21,2209,49,B,global prolongation / double quotient
19,12,48,60,45,41,61,-20,2209,49,B,global prolongation / double quotient
19,13,45,58,45,39,86,-47,2209,49,B,global prolongation / double quotient
19,13,46,59,45,40,86,-46,2209,49,B,global prolongation / double quotient
19,13,47,60,45,41,86,-45,2209,49,B,global prolongation / double quotient
19,14,45,59,45,40,111,-71,2209,49,B,global prolongation / double quotient
19,14,46,60,45,41,111,-70,2209,49,B,global prolongation / double quotient
19,15,45,60,45,41,136,-95,2209,49,B,global prolongation / double quotient
20,9,48,57,48,37,35,2,2138,-22,B,global prolongation / double quotient
20,9,49,58,48,38,35,3,2138,-22,B,global prolongation / double quotient
20,9,50,59,48,39,35,4,2138,-22,B,global prolongation / double quotient
20,9,51,60,48,40,35,5,2138,-22,B,global prolongation / double quotient
20,10,48,58,48,38,50,-12,2148,-12,H,three terminal orbits for d=10
20,10,49,59,48,39,50,-11,2148,-12,H,three terminal orbits for d=10
20,10,50,60,48,40,50,-10,2148,-12,H,three terminal orbits for d=10
20,11,48,59,48,39,55,-16,2168,8,D,p_11 <= 55 endpoint
20,11,49,60,48,40,55,-15,2168,8,D,p_11 <= 55 endpoint
20,12,48,60,48,40,61,-21,2187,27,E,coarse p_12 <= 80 endpoint
21,9,48,57,48,36,35,1,2113,-47,B,global prolongation / double quotient
21,9,49,58,48,37,35,2,2113,-47,B,global prolongation / double quotient
21,9,50,59,48,38,35,3,2113,-47,B,global prolongation / double quotient
21,9,51,60,48,39,35,4,2113,-47,B,global prolongation / double quotient
21,10,48,58,48,37,50,-13,2123,-37,H,three terminal orbits for d=10
21,10,49,59,48,38,50,-12,2123,-37,H,three terminal orbits for d=10
21,10,50,60,48,39,50,-11,2123,-37,H,three terminal orbits for d=10
21,11,48,59,48,38,55,-17,2143,-17,G,"flag-annihilator gap for d=11,12"
21,11,49,60,48,39,55,-16,2143,-17,G,"flag-annihilator gap for d=11,12"
21,12,48,60,48,39,61,-22,2162,2,F,sharp p_12 <= 61 endpoint
22,9,48,57,48,35,35,0,2088,-72,C,d=9 equality geometry
22,9,49,58,48,36,35,1,2088,-72,B,global prolongation / double quotient
22,9,50,59,48,37,35,2,2088,-72,B,global prolongation / double quotient
22,9,51,60,48,38,35,3,2088,-72,B,global prolongation / double quotient
22,10,48,58,48,36,50,-14,2098,-62,H,three terminal orbits for d=10
22,10,49,59,48,37,50,-13,2098,-62,H,three terminal orbits for d=10
22,10,50,60,48,38,50,-12,2098,-62,H,three terminal orbits for d=10
22,11,48,59,48,37,55,-18,2118,-42,G,"flag-annihilator gap for d=11,12"
22,11,49,60,48,38,55,-17,2118,-42,G,"flag-annihilator gap for d=11,12"
22,12,48,60,48,38,61,-23,2137,-23,G,"flag-annihilator gap for d=11,12"
